,Pais,Data,Decklist,Evento,Formato,Heroi,Resultado,Link do deck,Tipo de evento,Classe,Talento,Idade
333,New Zealand,14 Oct 2025,"Reya, the Unyielding – Smash Palace Homebrew",Smash Palace Homebrew,Ultimate Pit Fight,"Reya, the Unyielding",nao informado,https://fabtcg.com/decklists/new-decklist-17/,smash palace,['Guardian' 'Pit-Fighter'],['nenhum'],['Adult']
334,New Zealand,14 Oct 2025,Groundbreaker Crix – Smash Palace Homebrew,Smash Palace Homebrew,Ultimate Pit Fight,Groundbreaker Crix,nao informado,https://fabtcg.com/decklists/new-decklist-16/,smash palace,['Guardian' 'Pit-Fighter'],['nenhum'],['Adult']
335,New Zealand,14 Oct 2025,"Bolfar, Bear Hands – Smash Palace Homebrew",Smash Palace Homebrew,Ultimate Pit Fight,"Bolfar, Bear Hands",nao informado,https://fabtcg.com/decklists/new-decklist-15/,smash palace,['Guardian' 'Pit-Fighter'],['nenhum'],['Adult']
336,New Zealand,14 Oct 2025,Fightmaster Kox – Smash Palace Homebrew,Smash Palace Homebrew,Ultimate Pit Fight,Fightmaster Kox,nao informado,https://fabtcg.com/decklists/new-decklist-13/,smash palace,['Guardian' 'Pit-Fighter'],['nenhum'],['Adult']
337,New Zealand,14 Oct 2025,"Bravo, Flattering Showman – Smash Palace Homebrew",Smash Palace Homebrew,Ultimate Pit Fight,"Bravo, Flattering Showman",nao informado,https://fabtcg.com/decklists/new-decklist-14/,smash palace,['Guardian'],['nenhum'],['Young']
338,New Zealand,14 Oct 2025,"Victor Goldmane, Match Fixer – Smash Palace Homebrew",Smash Palace Homebrew,Ultimate Pit Fight,"Victor Goldmane, Match Fixer",nao informado,https://fabtcg.com/decklists/new-decklist-12/,smash palace,['Guardian' 'Pit-Fighter'],['nenhum'],['Adult']
339,Brazil,12 Oct 2025,"Diego Souza – Marlynn, Treasure Hunter – Pro Quest: Yokohama",Pro Tour: Yokohama,Classic Constructed,"Marlynn, Treasure Hunter",1st,https://fabtcg.com/decklists/diego-souza-marlynn-treasure-hunter-pro-quest-yokohama-geex-hobby-store/,pro tour,['Pirate' 'Ranger'],['nenhum'],['Adult']
340,United Kingdom,11 Oct 2025,"Ashley Southwood – Betsy, Skin in the Game – Pro Quest: Yokohama",Pro Quest: Yokohama,Classic Constructed,"Betsy, Skin in the Game",1st,https://fabtcg.com/decklists/ashley-southwood-betsy-skin-in-the-game-pro-quest-yokohama-gemini-games/,pro quest,['Guardian'],['nenhum'],['Adult']
341,United Kingdom,10 Oct 2025,"Callum Young – Puffin, Hightail – Pro Quest: Yokohama",Pro Quest: Yokohama,Classic Constructed,"Puffin, Hightail",1st,https://fabtcg.com/decklists/callum-young-puffin-hightail-pq-yokohama/,pro quest,['Pirate' 'Mechanologist'],['nenhum'],['Adult']
342,United Kingdom,05 Oct 2025,"Karl Naylor – Zen, Tamer of Purpose – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Zen, Tamer of Purpose",1st,https://fabtcg.com/decklists/karl-naylor-zen-tamer-of-purpose-battle-hardened-hamburg-2025/,battle hardened,['Ninja'],['Mystic'],['Adult']
343,United Kingdom,05 Oct 2025,"Shahmir Samee – Chane, Bound by Shadow – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Chane, Bound by Shadow",2nd,https://fabtcg.com/decklists/shahmir-samee-chane-bound-by-shadow-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['Shadow'],['Adult']
344,Germany,05 Oct 2025,"Niclas Grießhaber – Briar, Warden of Thorns – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Briar, Warden of Thorns",3rd,https://fabtcg.com/decklists/niclas-griehaber-briar-warden-of-thorns-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
345,Germany,05 Oct 2025,"Felix Krisch – Viserai, Rune Blood – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Viserai, Rune Blood",3rd,https://fabtcg.com/decklists/felix-krisch-viserai-rune-blood-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['nenhum'],['Adult']
346,France,05 Oct 2025,"Evan Tanguy – Chane, Bound by Shadow – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Chane, Bound by Shadow",5th,https://fabtcg.com/decklists/evan-tanguy-chane-bound-by-shadow-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['Shadow'],['Adult']
347,Romania,05 Oct 2025,"Bogdan-Andrei Oros – Briar, Warden of Thorns – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Briar, Warden of Thorns",5th,https://fabtcg.com/decklists/bogdan-andrei-oros-briar-warden-of-thorns-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
348,Netherlands,05 Oct 2025,"Philip van Donselaar – Chane, Bound by Shadow – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Chane, Bound by Shadow",5th,https://fabtcg.com/decklists/philip-van-donselaar-chane-bound-by-shadow-battle-hardened-hamburg-2025/,battle hardened,['Runeblade'],['Shadow'],['Adult']
349,Spain,05 Oct 2025,"Alvaro Toledano Benito – Nuu, Alluring Desire – Battle Hardened: Hamburg",Battle Hardened: Hamburg,Living Legend,"Nuu, Alluring Desire",5th,https://fabtcg.com/decklists/alvaro-toledano-benito-nuu-alluring-desire-battle-hardened-hamburg-2025/,battle hardened,['Assassin'],['Mystic'],['Adult']
350,Japan,04 Oct 2025,"祥弘 橋本 – Gravy Bones, Shipwrecked Looter – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/gravy-bones-shipwrecked-looter-battle-hardened-osaka-2025/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
351,Hong Kong,04 Oct 2025,Pudding Tam – Kassai of the Golden Sand – Battle Hardened: Osaka,Battle Hardened: Osaka,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/pudding-tam-kassai-of-the-golden-sand-battle-hardened-osaka-2025/,battle hardened,['Warrior'],['nenhum'],['Adult']
352,United States of America,04 Oct 2025,"Majin Bae – Verdance, Thorn of the Rose – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/majin-bae-verdance-thorn-of-the-rose-battle-hardened-sonoma-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
353,United States of America,04 Oct 2025,"Taylor Morrow – Arakni, Huntsman – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Arakni, Huntsman",2nd,https://fabtcg.com/decklists/taylor-morrow-arakni-huntsman-battle-hardened-sonoma-2025/,battle hardened,['Assassin'],['nenhum'],['Adult']
354,United States of America,04 Oct 2025,"Brandon Coyle – Florian, Rotwood Harbinger – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/brandon-coyle-florian-rotwood-harbinger-battle-hardened-sonoma-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
355,United States of America,04 Oct 2025,Nicholas Flavin – Dorinthea Ironsong – Battle Hardened: Sonoma,Battle Hardened: Sonoma,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/nicholas-flavin-dorinthea-ironsong-battle-hardened-sonoma-2025/,battle hardened,['Warrior'],['nenhum'],['Adult']
356,United States of America,04 Oct 2025,"Mars Wang – Verdance, Thorn of the Rose – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/mars-wang-verdance-thorn-of-the-rose-battle-hardened-sonoma-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
357,United States of America,04 Oct 2025,"Austin Kim – Verdance, Thorn of the Rose – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/austin-kim-verdance-thorn-of-the-rose-battle-hardened-sonoma-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
358,United States of America,04 Oct 2025,"Wyatt Schmitt – Kayo, Armed and Dangerous – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/wyatt-schmitt-kayo-armed-and-dangerous-battle-hardened-sonoma-2025/,battle hardened,['Brute'],['nenhum'],['Adult']
359,France,04 Oct 2025,"Arthur Trehet – Verdance, Thorn of the Rose – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/arthur-trehet-verdance-thorn-of-the-rose-calling-hamburg/,calling,['Wizard'],['Elemental'],['Adult']
360,United States of America,04 Oct 2025,"Brodie Spurlock – Verdance, Thorn of the Rose – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/brodie-spurlock-verdance-thorn-of-the-rose-calling-hamburg/,calling,['Wizard'],['Elemental'],['Adult']
361,Philippines,03 Oct 2025,"Justin Cu – Gravy Bones, Shipwrecked Looter – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/justin-cu-gravy-bones-shipwrecked-looter-battle-hardened-osaka-2025/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
362,Japan,03 Oct 2025,"Kazuya Murakami – Cindra, Dracai of Retribution – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Cindra, Dracai of Retribution",2nd,https://fabtcg.com/decklists/kazuya-murakami-cindra-dracai-of-retribution-battle-hardened-osaka-2025/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
363,Singapore,03 Oct 2025,"Clinton Ng – Verdance, Thorn of the Rose – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Verdance, Thorn of the Rose",3rd,https://fabtcg.com/decklists/clinton-ng-verdance-thorn-of-the-rose-battle-hardened-osaka-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
364,Malaysia,03 Oct 2025,"Jian Wei Tee – Kano, Dracai of Aether – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Kano, Dracai of Aether",5th,https://fabtcg.com/decklists/jian-wei-tee-kano-dracai-of-aether-battle-hardened-osaka-2025/,battle hardened,['Wizard'],['nenhum'],['Adult']
365,Japan,03 Oct 2025,Yuki Matsumoto – Kassai of the Golden Sand – Battle Hardened: Osaka,Battle Hardened: Osaka,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/yuki-matsumoto-kassai-of-the-golden-sand-battle-hardened-osaka-2025/,battle hardened,['Warrior'],['nenhum'],['Adult']
366,Japan,03 Oct 2025,"北斗 神原 – Florian, Rotwood Harbinger – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/florian-rotwood-harbinger-battle-hardened-osaka-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
367,United States of America,03 Oct 2025,"Peter Buddensiek – Cindra, Dracai of Retribution – Battle Hardened: Sonoma",Battle Hardened: Sonoma,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/peter-buddensiek-cindra-dracai-of-retribution-battle-hardened-sonoma-2025/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
368,Belgium,03 Oct 2025,Warre Sevens – Dash I/O – Calling: Hamburg,Calling: Hamburg,Classic Constructed,Dash I/O,2nd,https://fabtcg.com/decklists/warre-sevens-dash-io-calling-hamburg/,calling,['Mechanologist'],['nenhum'],['Adult']
369,Germany,03 Oct 2025,"Johannes Klaus – Oscilio, Constella Intelligence – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Oscilio, Constella Intelligence",3rd,https://fabtcg.com/decklists/johannes-klaus-oscilio-constella-intelligence-calling-hamburg/,calling,['Wizard'],['Elemental'],['Adult']
370,Denmark,03 Oct 2025,"Kinga Piper Balázs – Cindra, Dracai of Retribution – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/kinga-piper-balazs-cindra-dracai-of-retribution-calling-hamburg/,calling,['Ninja'],['Royal' 'Draconic'],['Adult']
371,Germany,03 Oct 2025,"Kirill Antropov – Victor Goldmane, High and Mighty – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/kirill-antropov-victor-goldmane-high-and-mighty-calling-hamburg/,calling,['Guardian'],['nenhum'],['Adult']
372,Germany,03 Oct 2025,"Lukas Proske – Fang, Dracai of Blades – Calling: Hamburg",Calling: Hamburg,Classic Constructed,"Fang, Dracai of Blades",5th,https://fabtcg.com/decklists/lukas-proske-fang-dracai-of-blades-calling-hamburg/,calling,['Warrior'],['Royal' 'Draconic'],['Adult']
373,Belgium,03 Oct 2025,"Lucas Nijssen – Cindra, Dracai of Retribution – Calling: Hamburg",https://fabtcg.com/organised-play/2025/calling-hamburg/,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/lucas-nijssen-cindra-dracai-of-retribution-calling-hamburg/,tc,['Ninja'],['Royal' 'Draconic'],['Adult']
374,Canada,03 Oct 2025,"Elly Bird – Bravo, Star of the Show – Primed to Fight",Primed to Fight,Living Legend,"Bravo, Star of the Show",nao informado,https://fabtcg.com/decklists/new-decklist-5/,primed to fight,['Guardian'],['Elemental'],['Adult']
375,Canada,03 Oct 2025,"Elly Bird – Ser Boltyn, Breaker of Dawn – Primed to Fight",Primed to Fight,Classic Constructed,"Ser Boltyn, Breaker of Dawn",nao informado,https://fabtcg.com/decklists/new-decklist-4/,primed to fight,['Warrior'],['Light'],['Adult']
376,United States of America,27 Sep 2025,"Eric Dauernnheim – Verdance, Thorn of the Rose – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/eric-dauernnheim-verdance-thorn-of-the-rose-battle-hardened-guadalajara-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
377,Mexico,27 Sep 2025,"Manuel Curiel – Cindra, Dracai of Retribution – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/manuel-curiel-cindra-dracai-of-retribution-battle-hardened-guadalajara-2025/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
378,United States of America,27 Sep 2025,"Evan Ford – Verdance, Thorn of the Rose – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/evan-ford-verdance-thorn-of-the-rose-battle-hardened-guadalajara-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
379,Mexico,27 Sep 2025,"Jesus Roman – Florian, Rotwood Harbinger – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/jesus-roman-florian-rotwood-harbinger-battle-hardened-guadalajara-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
380,Mexico,27 Sep 2025,"Emmanuel Rojas – Victor Goldmane, High and Mighty – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/emmanuel-rojas-victor-goldmane-high-and-mighty-battle-hardened-guadalajara-2025/,battle hardened,['Guardian'],['nenhum'],['Adult']
381,Mexico,27 Sep 2025,"Octavio Chaparro Beltran – Riptide, Lurker of the Deep – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Riptide, Lurker of the Deep",5th,https://fabtcg.com/decklists/octavio-chaparro-beltran-riptide-lurker-of-the-deep-battle-hardened-guadalajara-2025/,battle hardened,['Ranger'],['nenhum'],['Adult']
382,France,27 Sep 2025,"Evan Tanguy – Florian, Rotwood Harbinger – Battle Hardened: Paris",Battle Hardened: Paris,Classic Constructed,"Florian, Rotwood Harbinger",1st,https://fabtcg.com/decklists/new-decklist-8/,battle hardened,['Runeblade'],['Elemental'],['Adult']
383,France,27 Sep 2025,"Tom Simon – Cindra, Dracai of Retribution – Battle Hardened: Paris",Battle Hardened: Paris,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/new-decklist-9/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
384,France,27 Sep 2025,"Arthur Trehet – Verdance, Thorn of the Rose – Battle Hardened: Paris",Battle Hardened: Paris,Classic Constructed,"Verdance, Thorn of the Rose",1st,https://fabtcg.com/decklists/new-decklist-7/,battle hardened,['Wizard'],['Elemental'],['Adult']
385,France,27 Sep 2025,"Clément Loubière – Kayo, Underhanded Cheat – Battle Hardened: Paris",Battle Hardened: Paris,Classic Constructed,"Kayo, Underhanded Cheat",2nd,https://fabtcg.com/decklists/new-decklist-10/,battle hardened,['Brute'],['Reviled'],['Adult']
386,Netherlands,27 Sep 2025,"Donovan van Beek – Pleiades, Superstar – Battle Hardened: Paris",Battle Hardened: Paris,Classic Constructed,"Pleiades, Superstar",3rd,https://fabtcg.com/decklists/new-decklist-11/,battle hardened,['Guardian'],['Revered'],['Adult']
387,Hong Kong,27 Sep 2025,"Nova Chan – Viserai, Rune Blood – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Viserai, Rune Blood",1st,https://fabtcg.com/decklists/nova-chan-viserai-rune-blood-sunday-900-battle-hardened-living-legend/,battle hardened,['Runeblade'],['nenhum'],['Adult']
388,Japan,27 Sep 2025,"Kento Inagaki – Zen, Tamer of Purpose – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Zen, Tamer of Purpose",2nd,https://fabtcg.com/decklists/kento-inagaki-zen-tamer-of-purpose-sunday-900-battle-hardened-living-legend/,battle hardened,['Ninja'],['Mystic'],['Adult']
389,United States of America,27 Sep 2025,"Brodie Spurlock – Chane, Bound by Shadow – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Chane, Bound by Shadow",3rd,https://fabtcg.com/decklists/brodie-spurlock-chane-bound-by-shadow-sunday-900-battle-hardened-living-legend/,battle hardened,['Runeblade'],['Shadow'],['Adult']
390,United States of America,27 Sep 2025,"Naib Mobassir – Ira, Scarlet Revenger – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Ira, Scarlet Revenger",3rd,https://fabtcg.com/decklists/naib-mobassir-ira-scarlet-revenger-sunday-900-battle-hardened-living-legend/,battle hardened,['Ninja'],['nenhum'],['Adult']
391,Hong Kong,27 Sep 2025,"Chun On Anson Wong – Ira, Scarlet Revenger – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Ira, Scarlet Revenger",5th,https://fabtcg.com/decklists/chun-on-anson-wong-ira-scarlet-revenger-sunday-900-battle-hardened-living-legend/,battle hardened,['Ninja'],['nenhum'],['Adult']
392,Singapore,27 Sep 2025,"Shirui Wu – Briar, Warden of Thorns – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Briar, Warden of Thorns",5th,https://fabtcg.com/decklists/shirui-wu-briar-warden-of-thorns-sunday-900-battle-hardened-living-legend/,battle hardened,['Runeblade'],['Elemental'],['Adult']
393,Japan,27 Sep 2025,"Yoshiaki Okamoto – Chane, Bound by Shadow – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Chane, Bound by Shadow",5th,https://fabtcg.com/decklists/yoshiaki-okamoto-chane-bound-by-shadow-sunday-900-battle-hardened-living-legend/,battle hardened,['Runeblade'],['Shadow'],['Adult']
394,South Korea,27 Sep 2025,"Younghyun Jeong – Zen, Tamer of Purpose – Battle Hardened: Shizuoka",Battle Hardened: Shizuoka,Living Legend,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/younghyun-jeong-zen-tamer-of-purpose-sunday-900-battle-hardened-living-legend/,battle hardened,['Ninja'],['Mystic'],['Adult']
395,Mexico,26 Sep 2025,"Fernando Alcantara Sarmiento – Oscilio, Constella Intelligence – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Oscilio, Constella Intelligence",2nd,https://fabtcg.com/decklists/fernando-alcantara-sarmiento-oscilio-constella-intelligence-battle-hardened-guadalajara-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
396,Colombia,26 Sep 2025,"Adrian Contreras – Florian, Rotwood Harbinger – Battle Hardened: Guadalajara",Battle Hardened: Guadalajara,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/adrian-contreras-florian-rotwood-harbinger-battle-hardened-guadalajara-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
397,Japan,26 Sep 2025,"Takuya Kojima – Cindra, Dracai of Retribution – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/takuya-kojima-cindra-dracai-of-retribution-saturday-900-the-calling-classic-constructed/,calling,['Ninja'],['Royal' 'Draconic'],['Adult']
398,Philippines,26 Sep 2025,"Justin Cu – Gravy Bones, Shipwrecked Looter – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/justin-cu-gravy-bones-shipwrecked-looter-saturday-900-the-calling-classic-constructed/,calling,['Pirate' 'Necromancer'],['nenhum'],['Adult']
399,Japan,26 Sep 2025,"Soya Okuda – Cindra, Dracai of Retribution – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/soya-okuda-cindra-dracai-of-retribution-saturday-900-the-calling-classic-constructed/,calling,['Ninja'],['Royal' 'Draconic'],['Adult']
400,Singapore,26 Sep 2025,"Gordon Koh Koh – Verdance, Thorn of the Rose – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Verdance, Thorn of the Rose",3rd,https://fabtcg.com/decklists/gordon-koh-koh-verdance-thorn-of-the-rose-saturday-900-the-calling-classic-constructed/,calling,['Wizard'],['Elemental'],['Adult']
401,Japan,26 Sep 2025,"シンヤ カワグチ – Rhinar, Reckless Rampage – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Rhinar, Reckless Rampage",5th,https://fabtcg.com/decklists/rhinar-reckless-rampage-saturday-900-the-calling-classic-constructed/,calling,['Brute'],['nenhum'],['Adult']
402,Japan,26 Sep 2025,"Kazuma Suzuki – Gravy Bones, Shipwrecked Looter – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/kazuma-suzuki-gravy-bones-shipwrecked-looter-saturday-900-the-calling-classic-constructed/,calling,['Pirate' 'Necromancer'],['nenhum'],['Adult']
403,Japan,26 Sep 2025,"Motohiro Makigano – Florian, Rotwood Harbinger – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Florian, Rotwood Harbinger",5th,https://fabtcg.com/decklists/motohiro-makigano-florian-rotwood-harbinger-saturday-900-the-calling-classic-constructed/,calling,['Runeblade'],['Elemental'],['Adult']
404,Singapore,26 Sep 2025,"Keith Tan – Kayo, Armed and Dangerous – Calling: Shizuoka",Calling: Shizuoka,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/keith-tan-kayo-armed-and-dangerous-saturday-900-the-calling-classic-constructed/,calling,['Brute'],['nenhum'],['Adult']
405,Singapore,25 Sep 2025,"Shirui Wu – Tuffnut, Bumbling Hulkster – Zero to Eighty",Zero to Eighty: Tuffnut,Classic Constructed,"Tuffnut, Bumbling Hulkster",nao informado,https://fabtcg.com/decklists/new-decklist-3/,zero to eighty,['Brute'],['Revered'],['Adult']
406,Spain,24 Sep 2025,"Pablo Pintor – Pleiades, Superstar – Zero to Eighty",Zero to Eighty: Pleiades,Classic Constructed,"Pleiades, Superstar",nao informado,https://fabtcg.com/decklists/new-decklist-2/,zero to eighty,['Guardian'],['Revered'],['Adult']
407,Australia,23 Sep 2025,"Sam Sutherland – Kayo, Underhanded Cheat – Zero to Eighty",Zero to Eighty: Kayo,Classic Constructed,"Kayo, Underhanded Cheat",nao informado,https://fabtcg.com/decklists/sam-sutherland-kayo-underhanded-cheat-zero-to-eighty/,zero to eighty,['Brute'],['Reviled'],['Adult']
408,Canada,22 Sep 2025,"Yuki Lee Bender – Lyath Goldmane, Vile Savant – Zero to Eighty",Zero to Eighty: Lyath Goldmane,Classic Constructed,"Lyath Goldmane, Vile Savant",nao informado,https://fabtcg.com/decklists/yuki-lee-bender-lyath-goldmane-vile-savant-zero-to-eighty/,zero to eighty,['Guardian'],['Reviled'],['Adult']
409,United States of America,06 Sep 2025,"Brodie Spurlock – Fang, Dracai of Blades – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Fang, Dracai of Blades",nao informado,https://fabtcg.com/decklists/brodie-spurlock-fang-dracai-of-blades-battle-hardened-chicago-2025/,battle hardened,['Warrior'],['Royal' 'Draconic'],['Adult']
410,United States of America,06 Sep 2025,"Jo Burch – Oscilio, Constella Intelligence – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Oscilio, Constella Intelligence",nao informado,https://fabtcg.com/decklists/jo-burch-oscilio-constella-intelligence-battle-hardened-chicago-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
411,United States of America,06 Sep 2025,"Abigail Welday – Oscilio, Constella Intelligence – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Oscilio, Constella Intelligence",nao informado,https://fabtcg.com/decklists/abigail-welday-oscilio-constella-intelligence-battle-hardened-chicago-2025/,battle hardened,['Wizard'],['Elemental'],['Adult']
412,United States of America,06 Sep 2025,"David Bruner – Florian, Rotwood Harbinger – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Florian, Rotwood Harbinger",nao informado,https://fabtcg.com/decklists/david-bruner-florian-rotwood-harbinger-battle-hardened-chicago-2025/,battle hardened,['Runeblade'],['Elemental'],['Adult']
413,Hong Kong,06 Sep 2025,"Eugene C – Rhinar, Reckless Rampage – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Rhinar, Reckless Rampage",nao informado,https://fabtcg.com/decklists/eugene-c-rhinar-reckless-rampage-battle-hardened-chicago-2025/,battle hardened,['Brute'],['nenhum'],['Adult']
414,United States of America,06 Sep 2025,"Kristopher Kraemer – Arakni, 5L!p3d 7hRu 7h3 cR4X – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",nao informado,https://fabtcg.com/decklists/kristopher-kraemer-arakni-5lp3d-7hru-7h3-cr4x-battle-hardened-chicago-2025/,battle hardened,['Assassin'],['Chaos'],['Adult']
415,United States of America,06 Sep 2025,"Brandon Robinson – Riptide, Lurker of the Deep – Battle Hardened Chicago 2025",Battle Hardened: Chicago,Classic Constructed,"Riptide, Lurker of the Deep",nao informado,https://fabtcg.com/decklists/brandon-robinson-riptide-lurker-of-the-deep-battle-hardened-chicago-2025/,battle hardened,['Ranger'],['nenhum'],['Adult']
